name	family	T	a	b	ancestors	descendants
v14CCCACCCACCACCACAACDEDEBE	oct	3	1	1	v6CCCACAAE	v38CCCACCCACCACCACACCACCACACCACACCACACACCACAACACAACACAACADECACAACAACAAACAAE,v50CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACDEACCADEACCADEACCADEACAACDEDEBE,v86CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACAACACACACDEACACACDEACACACDEACACAACACACAACACAACACAACAACACAACAACAAACAAE,v110CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACACCADEACACCACADEACACCACADEACACCACADEACACACDEACCADEACCADEACCADEACAACDEDEBE
v18CCCACCCACCACCACACCAACAACAADECAAE	oct	4	2	0	v6CCCACAAE	v50CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACDEACCADEACCADEACCADEACAACDEDEBE,v66CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACAACACACAACACACAACACADECACACAACACAACACAACAACACAACAACAAACAAE
v30CCCACCCACCACCACACCACCACACCACACCACACAACACDEACDEACDEAACAAE	oct	7	2	1	v6CCCACAAE	
v38CCCACCCACCACCACACCACCACACCACACCACACACCACAACACAACACAACADECACAACAACAAACAAE	oct	9	3	0	v6CCCACAAE,v14CCCACCCACCACCACAACDEDEBE	v110CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACACCADEACACCACADEACACCACADEACACCACADEACACACDEACCADEACCADEACCADEACAACDEDEBE
v4CCAE	tet	1	1	0		v8CCACCCABCABE,v10CCACCCACCACABDEE,v16CCACCCACCACACCABCACABCACABAE,v20CCACCCACCACACCACCACACCACACABCADEADEE,v26CCACCCACCACACCACCACACCACACACCABACCACABABCACABABE,v28CCACCCACCACACCACCACACCACACACCACABCACACABCACACABABDEE,v34CCACCCACCACACCACCACACCACACACCACACCACACACCACACACABCACADEACADEADEE,v40CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCABACACCACABABACCACABABADEE,v44CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACABCACACACABCACACACABABCADEADEE,v52CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACABCACACADEACACADEACADEADEE,v56CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACABABACCACACABABABCACACABABABE,v58CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCABACACACCACABABACACCACABABACADEADEE,v64CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACABCACACACACABCACACACACABABCACADEACADEADEE,v74CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACABCACACACADEACACACADEACACADEACADEADEE,v76CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACABABACACCACACABABABACCACACABABABADEE,v80CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCABACACACACCACABABACACACCACABABACACADEACADEADEE,v88CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACABCACACACACACABCACACACACACABABCACACADEACACADEACADEADEE,v98CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACABABABACCACACACABABABABCACACACABABABABE,v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE,v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE,v106CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCABACACACACACCACABABACACACACCACABABACACACADEACACADEACADEADEE,v116CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACABCACACACACACACABCACACACACACACABABCACACACADEACACACADEACACADEACADEADEE,v128CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACABABACACACACCACACABABABACACACCACACABABABACACADEACADEADEE,v130CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACABCACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v152CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACABABABABACCACACACACABABABABABCACACACACABABABABABE,v164CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACABCACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v202CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACABCACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v218CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACABABABABABACCACACACACACABABABABABABCACACACACACABABABABABABE,v226CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACABABABACACACACACCACACACABABABABACACACACCACACACABABABABACACACADEACACADEACADEADEE,v236CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACABABACACACACACACACCACACABABABACACACACACACCACACABABABACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v244CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACABCACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v290CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACABCACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v296CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACABABABABABABACCACACACACACACABABABABABABABCACACACACACACABABABABABABABE,v340CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACABCACACACACACACACACACACADEACACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v352CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACABABABABACACACACACACCACACACACABABABABABACACACACACCACACACACABABABABABACACACACADEACACACADEACACADEACADEADEE,v386CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACABABABABABABABACCACACACACACACACABABABABABABABABCACACACACACACACABABABABABABABABE,v394CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACABCACACACACACACACACACACACADEACACACACACACACACACACACADEACACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v418CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACABABABACACACACACACACACACCACACACABABABABACACACACACACACACCACACACABABABABACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v452CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACABCACACACACACACACACACACACACADEACACACACACACACACACACACACADEACACACACACACACACACACACADEACACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v506CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACACACCACACACACABABABABABACACACACACACACCACACACACACABABABABABABACACACACACACCACACACACACABABABABABABACACACACACADEACACACACADEACACACADEACACADEACADEADEE
v26CCACCCACCACACCACCACACCACACACCABACCACABABCACABABE	tet	12	2	2	v4CCAE,v8CCACCCABCABE,v10CCACCCACCACABDEE	v74CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACABCACACACADEACACACADEACACADEACADEADEE,v98CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACABABABACCACACACABABABABCACACACABABABABE,v218CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACABABABABABACCACACACACACABABABABABABCACACACACACABABABABABABE,v290CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACABCACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v386CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACABABABABABABABACCACACACACACACACABABABABABABABABCACACACACACACACABABABABABABABABE,v506CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACACACCACACACACABABABABABACACACACACACACCACACACACACABABABABABABACACACACACACCACACACACACABABABABABABACACACACACADEACACACACADEACACACADEACACADEACADEADEE
v28CCACCCACCACACCACCACACCACACACCACABCACACABCACACABABDEE	tet	13	3	1	v4CCAE	v106CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCABACACACACACCACABABACACACACCACABABACACACADEACACADEACADEADEE,v236CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACABABACACACACACACACCACACABABABACACACACACACCACACABABABACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v340CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACABCACACACACACACACACACACADEACACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v418CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACABABABACACACACACACACACACCACACACABABABABACACACACACACACACCACACACABABABABACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE
v34CCACCCACCACACCACCACACCACACACCACACCACACACCACACACABCACADEACADEADEE	tet	16	4	0	v4CCAE,v10CCACCCACCACABDEE	v98CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACABABABACCACACACABABABABCACACACABABABABE,v130CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACABCACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v226CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACABABABACACACACACCACACACABABABABACACACACCACACACABABABABACACACADEACACADEACADEADEE,v290CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACABCACACACACACACACACACADEACACACACACACACACACADEACACACACACACACACADEACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE,v386CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACACACACACABABABABABABABACCACACACACACACACABABABABABABABABCACACACACACACACABABABABABABABABE,v418CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACACACACACACACACACACCACACACACACACACACACACACACACACACCACACABABABACACACACACACACACACCACACACABABABABACACACACACACACACCACACACABABABABACACACACACACACADEACACACACACACADEACACACACACADEACACACACADEACACACADEACACADEACADEADEE
v40CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCABACACCACABABACCACABABADEE	tet	19	3	2	v4CCAE	
v44CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACABCACACACABCACACACABABCADEADEE	tet	21	4	1	v4CCAE,v8CCACCCABCABE	v296CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACCACACACACACACACACACACACACCACACACACACACACACACACACACACCACACACACACABABABABABABACCACACACACACACABABABABABABABCACACACACACACABABABABABABABE
