name	family	T	a	b	ancestors	descendants
v72CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACACACCAACACCAACACCAACACCAACACACACACCAACACCAACACCAACACCAACACACAACCAAACCAAACCAAACCAAACAACDEDEDEBE	ico	7	2	1	v12CCCCACCACACACAACAAAE	
v92CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE	ico	9	3	0	v12CCCCACCACACACAACAAAE,v32CCCCACCCACCACCACCACACACCAACCAACCAACCAACACACAACAACAACAAACAAAE	v272CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACCACACACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACACACAACACACACACAACACACACACAACACACACACAACACAACCACAACACACACAACACACACAACACACACAACACACACAACAACCACAACACACAACACACAACACACAACACACAAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE
v6CCCACAAE	oct	1	1	0		v14CCCACCCACCACCACAACDEDEBE,v18CCCACCCACCACCACACCAACAACAADECAAE,v30CCCACCCACCACCACACCACCACACCACACCACACAACACDEACDEACDEAACAAE,v38CCCACCCACCACCACACCACCACACCACACCACACACCACAACACAACACAACADECACAACAACAAACAAE,v50CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACDEACCADEACCADEACCADEACAACDEDEBE,v54CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACAACACACDEACACDEACACDEACAACACAACAACAAACAAE,v66CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACAACACACAACACACAACACADECACACAACACAACACAACAACACAACAACAAACAAE,v78CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCADEACCACADEACCACADEACCACADEACACDECADECADECADEACAAE,v86CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACAACACACACDEACACACDEACACACDEACACAACACACAACACAACACAACAACACAACAACAAACAAE,v102CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACAACACACACAACACACACAACACACADECACACACAACACACAACACACAACACAACACACAACACAACACAACAACACAACAACAAACAAE,v110CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACACCADEACACCACADEACACCACADEACACCACADEACACACDEACCADEACCADEACCADEACAACDEDEBE
v50CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACDEACCADEACCADEACCADEACAACDEDEBE	oct	12	2	2	v6CCCACAAE,v14CCCACCCACCACCACAACDEDEBE,v18CCCACCCACCACCACACCAACAACAADECAAE	
v54CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACAACACACDEACACDEACACDEACAACACAACAACAAACAAE	oct	13	3	1	v6CCCACAAE	
v66CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACAACACACAACACACAACACADECACACAACACAACACAACAACACAACAACAAACAAE	oct	16	4	0	v6CCCACAAE,v18CCCACCCACCACCACACCAACAACAADECAAE	
v78CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCADEACCACADEACCACADEACCACADEACACDECADECADECADEACAAE	oct	19	3	2	v6CCCACAAE	
v86CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACAACACACACDEACACACDEACACACDEACACAACACACAACACAACACAACAACACAACAACAAACAAE	oct	21	4	1	v6CCCACAAE,v14CCCACCCACCACCACAACDEDEBE	
v102CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACAACACACACAACACACACAACACACADECACACACAACACACAACACACAACACAACACACAACACAACACAACAACACAACAACAAACAAE	oct	25	5	0	v6CCCACAAE	
v110CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACACCADEACACCACADEACACCACADEACACCACADEACACACDEACCADEACCADEACCADEACAACDEDEBE	oct	27	3	3	v6CCCACAAE,v14CCCACCCACCACCACAACDEDEBE,v38CCCACCCACCACCACACCACCACACCACACCACACACCACAACACAACACAACADECACAACAACAAACAAE	
