nid	v	maxdeg	max_ratio	argmax_alpha
v13CCCACCACCACCACAACADEBE	13	6	1.1038456182993756e-07	43.466993469328585
v13CCCACCACCACCACACAADEBE	13	6	8.153739904986623e-08	43.466993469328585
v14CCACACACACACACACACACACAE	14	6	2.5442224468262112e-06	2.1000000000000014
v14CCACCACAACCACAACCACAACAE	14	6	6.615165585996767e-08	2.1000000000000014
v14CCCACACACACACACACACACAAE	14	6	7.776675913063809e-08	43.466993469328585
v14CCCACACACCAACACACCAACAAE	14	6	1.5783037839444448e-07	43.466993469328585
v14CCCACACACCACACAACACACAAE	14	6	6.303352925735044e-08	55.27909663310495
v14CCCACACACCACACAACCAACAAE	14	6	6.399388869033107e-08	43.466993469328585
v14CCCACACACCACACACAACACAAE	14	6	7.049075641842941e-08	55.27909663310495
v14CCCACACACCACACACACAACAAE	14	6	5.278785626103561e-08	55.27909663310495
v14CCCACACACCACACACACACAABE	14	6	7.233303789167923e-08	21.872676300000002
v14CCCACACACCACACACACCAAABE	14	6	1.1233195497532552e-07	55.27909663310495
v14CCCACACCAACACACCAACACAAE	14	6	7.527969987142847e-08	55.27909663310495
v14CCCACACCACACAACCACACAAAE	14	6	4.921198965393313e-08	55.27909663310495
v14CCCACACCACACAACCACACAABE	14	6	6.28285364925744e-08	55.27909663310495
v14CCCACACCACACACACAACACAAE	14	6	7.351536434857211e-08	55.27909663310495
v14CCCACACCACACACACACAACAAE	14	6	6.333269277042923e-08	43.466993469328585
v14CCCACACCACACACACACACAAAE	14	6	7.305858723593822e-08	43.466993469328585
v14CCCACACCACACACACACACAABE	14	6	1.0014557677386516e-07	43.466993469328585
v14CCCACACCACACACACACACADEE	14	6	4.852219112584956e-08	43.466993469328585
v14CCCACACCACACACACCAACADEE	14	6	7.871383780446113e-08	43.466993469328585
v14CCCACACCACCACACAACAACAAE	14	6	1.402080172905918e-07	49.112965600533286
v14CCCACACCACCACACAACACAAAE	14	6	9.137120941344207e-08	43.466993469328585
v14CCCACACCACCACACAACACAABE	14	6	9.521810769766968e-08	43.466993469328585
v14CCCACACCACCACACAACACDEAE	14	6	8.752574994909829e-08	2.1000000000000014
v14CCCACACCACCACACACAAACAAE	14	6	7.717719404780927e-08	55.27909663310495
v14CCCACACCACCACACACAABCAAE	14	6	9.250223733807429e-08	55.27909663310495
v14CCCACACCACCACACACAACAAAE	14	6	7.91010009165693e-08	55.27909663310495
v14CCCACACCACCACACACACAAABE	14	6	1.0214485291576894e-07	43.466993469328585
v14CCCACACCACCACACACACAABAE	14	6	2.0783853369309965e-07	49.112965600533286
